,X,customer,traintest,churn,churndep,revenue,mou,recchrge,directas,overage,roam,changem,changer,dropvce,blckvce,unansvce,custcare,threeway,mourec,outcalls,incalls,peakvce,opeakvce,dropblk,callfwdv,callwait,months,uniqsubs,actvsubs,phones,models,eqpdays,age1,age2,children,credita,creditaa,prizmrur,prizmub,prizmtwn,refurb,webcap,truck,rv,occprof,occcler,occcrft,occstud,occhmkr,occret,occself,ownrent,marryun,marryyes,mailord,mailres,mailflag,travel,pcown,creditcd,retcalls,retaccpt,newcelly,newcelln,refer,incmiss,income,mcycle,setprcm,setprc,retcall
18,18,1000041,0,0,NA,82.16249847,660,50,0,100.75,1.9375,-184,-31.5625,3,2,10.33333302,0,0.333333343,377.4533386,67.66666412,1.333333373,162,32.33333206,5,0,2.666666746,57,3,3,3,3,107,46,48,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,8,0,0,29.98999023,0
19,19,1000042,0,0,NA,30,56,30,0,0,0,-47,0,1,0.666666687,4,0.333333343,0,13.48333359,4,3.333333254,29.33333397,6,1.666666627,0,0,53,2,2,4,3,616,74,74,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,9,0,0,79.98999023,0
20,20,1000058,0,0,NA,20.18000031,1.25,20,0,0,0,-0.25,-0.180000007,0,0,0,0,0,0.303333342,0,0,0.666666687,0.333333343,0,0,0,50,1,1,1,1,1536,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,1,0,0
21,21,1000062,0,0,NA,42.88499832,406,40,0,53.75,0,88,3.565000057,0.666666687,1.666666627,27,0,0,47.68999863,6.333333492,4.333333492,93.33333588,84.33333588,2.333333254,0,1.666666627,50,1,1,2,2,901,50,48,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,5,0,0,29.98999023,0
22,22,1000064,0,0,NA,342.8575134,2961.25,139.9600067,11.13749981,1444.75,62.33499908,203.75,6.882500172,10,9.333333015,113.6666641,0,1.666666627,871.4966431,210.6666718,96.33333588,732.333313,156,19.66666603,2.333333254,34.33333206,52,2,2,10,7,72,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,399.9899902,0
23,23,1000065,0,0,NA,54.95999908,244,51.99000168,2.970000029,0,0,15,1.980000019,0.666666687,2.666666746,11.66666698,0,0,48.80666733,13,1,54,14.33333302,3.666666746,0,0,54,1,1,4,4,37,54,80,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,6,0,0,59.98999023,0
24,24,1000073,0,0,NA,17.42749977,19.75,16.98999977,0,1.25,0,15.25,1.3125,0.333333343,2.333333254,5.333333492,1,0,3.690000057,0,0,5.333333492,1,2.666666746,0,0,56,1,1,1,1,1695,44,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0
25,25,1000074,0,0,NA,107.25,1671,75,0,126,0,-641,-29.70000076,6.666666508,11.33333302,33.66666794,0,0,633.3833618,42,45,329,130.6666718,18,0,14.66666698,54,1,1,4,3,492,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9.989997864,0
26,26,1000075,0,0,NA,163.5399933,1437.5,82.94999695,2.474999905,0,0.097499996,-185.5,93.93000031,15,0.666666687,88,0.333333343,2,426.9100037,58,29,514,124.3333359,15.66666698,0,30,50,2,1,7,4,100,50,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,149.9899902,0
27,27,1000078,0,0,NA,21.12000084,17.75,18.87000084,0,9,0,10.25,12.10999966,0,0,0,0,0,8.523333549,1,0.333333343,11.33333302,3.333333254,0,0,0,54,1,1,2,2,839,54,54,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,7,0,0,29.98999023,0
28,28,1000081,0,0,NA,76.73750305,1007.75,59.99000168,0.495000005,65.25,6.677499771,-51.75,5.362500191,2,8.666666985,82,0,0,244.0500031,105,41,225.3333282,197,10.66666698,0,8.666666985,52,3,3,7,5,163,54,46,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,7,0,0,39.98999023,0
29,29,1000083,0,0,NA,196.7624969,3479,85,4.949999809,872.25,0,-394,-36.28250122,7,25,149.6666718,0.666666687,0,1005.390015,67.33333588,196,1177.333374,175.3333282,32,0,38.33333206,54,3,2,7,3,47,38,60,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,7,0,0,29.98999023,0
30,30,1000084,0,0,NA,55.18999863,1087.75,69.98999786,0,13,0,109.25,15.60000038,5.333333492,1,19.66666603,3.666666746,0.666666687,335.0733337,11,6,55.33333206,74.33333588,6.333333492,0,0,54,2,2,7,4,233,58,52,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,7,0,0,29.98999023,0
31,31,1000086,0,0,NA,97.58999634,1804,75,1.485000014,85,0,-343,20.89999962,13,11,69.33333588,0,0,742.416687,133,31.66666603,584,104.6666641,24,0,28.33333397,50,1,1,13,6,175,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,199.9899902,0
32,32,1000087,0,0,NA,79.44499969,831.25,74.98999786,4.454999924,0,0,118.75,1.485000014,2,2,10,0,0,282.5599976,37.33333206,13,155,32.33333206,4,0,2.333333254,56,1,1,8,6,49,30,30,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,8,0,0,199.9899902,0
33,33,1000089,0,0,NA,79.59500122,828,75,0,0,2.11500001,299,-1.085000038,10.33333302,4,32.66666794,0.333333343,0.333333343,176.5233307,36,14.33333302,250,21.66666603,14.33333302,0,6.333333492,50,1,1,5,4,350,52,52,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,2,0,0,149.9899902,0
34,34,1000091,0,0,NA,35.30500031,148,44.99000168,0,0,0,-86,-0.314999998,1.666666627,3,11.33333302,0,0,38.52999878,7.333333492,3.333333254,46,20.66666603,4.666666508,0,0,50,1,1,3,2,331,50,50,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,6,0,0,39.98999023,1
35,35,1000092,0,0,NA,40.71250153,364.75,34.97999954,0.495000005,0.75,0,-30.75,-2.482500076,1,7,28.33333397,3.333333254,0,99.85666656,9.333333015,2,95.66666412,62.66666794,8,0,0.333333343,50,1,1,3,2,675,32,32,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,5,0,0,9.989997864,0
36,36,1000094,0,0,NA,75.73249817,492.75,84.98999786,0.742500007,0,0,-195.75,-0.742500007,2.666666746,1.666666627,12,0,0,1.799999952,1,0,61,25.66666603,4.333333492,0,0.333333343,52,1,1,5,5,158,48,38,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,9,0,0,29.98999023,0
37,37,1000095,0,0,NA,49.99000168,820.5,59.99000168,0,1.5,0,26.5,0,1.666666627,11,33.33333206,6.666666508,0,138.9833374,17.66666603,1.666666627,100.3333359,46.66666794,12.66666698,0,4,56,1,1,3,3,451,48,44,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,7,0,0,29.98999023,0
38,38,1000096,0,0,NA,23.5,33.75,15,0,30.5,0,19.25,4,0,0.333333343,0.666666687,0.333333343,0,0,15.66666698,0,18.33333397,3.666666746,0.333333343,0,0,52,1,1,1,1,1583,68,68,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,6,0,1,0,0
39,39,1000097,0,0,NA,29.98999977,148.5,29.98999977,0,0,0,20.5,0,6,1.333333373,11,0.666666687,1,7.199999809,6,0,65.66666412,7,7.333333492,0,0,54,1,1,4,4,527,56,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,29.98999023,0
40,40,1000106,0,0,NA,95.16750336,161,88.54250336,0,0,0,78,34.00249863,0.666666687,0.666666687,1.333333373,0,0,31.62000084,14,0,38,22.66666603,1.333333373,0,0,56,4,4,2,2,1116,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,29.98999023,0
41,41,1000109,0,0,NA,226.0050049,2337.5,78,0,370,1.919999957,-365.5,-95.44499969,13.66666698,12,48,0,0,609.7233276,32,48.66666794,286.3333435,98,25.66666603,0,8.333333015,54,1,1,5,4,240,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,29.98999023,0
42,42,1000113,0,0,NA,30.26000023,24.75,29.98999977,0,0,0,-24.75,-0.270000011,0,0,0.666666687,0,0,1.639999986,0,0,0.333333343,2,0,0,0,50,1,1,1,1,1515,46,46,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,6,0,1,0,0
43,43,1000115,0,0,NA,113.5224991,1807.25,85,1.980000019,102,1.002500057,-373.25,-16.39249992,4.333333492,19,69.66666412,0,0,658.3366699,37,48.33333206,517.666687,72.66666412,23.33333397,0,6,52,2,1,9,4,387,48,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,79.98999023,0
44,44,1000117,0,0,NA,35.58250046,291.25,44.99000168,0.495000005,0.25,0,-18.25,0.397500008,4.666666508,5,42,0,0,76.33000183,5,2.333333254,46.33333206,63.33333206,9.666666985,0,1.666666627,52,1,1,3,2,135,42,34,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,29.98999023,0
45,45,1000118,0,0,NA,125.4700012,1697.25,75,24.00749969,92.75,9.574999809,-167.25,-19.21999931,12.66666698,10.66666698,56.33333206,0,0,187.7700043,204.3333282,26.66666603,553.666687,58.66666794,23.33333397,0,12.33333302,54,3,3,11,6,133,28,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,129.9899902,0
46,46,1000119,0,0,NA,114.5425034,1171.5,83,0.99000001,0,8.652500153,183.5,-27.8125,4.666666508,10.33333302,39,0.333333343,0,353.5266724,91.66666412,86.66666412,442,32.33333206,15,0,11,54,1,1,4,4,773,44,44,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,7,1,0,29.98999023,0
47,47,1000122,0,0,NA,78.57499695,1356.5,74.98999786,1.485000014,5.25,0,-44.5,-2.595000029,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2,1,15,6,168,50,46,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,9,0,0,149.9899902,0
48,48,1000125,0,0,NA,21.54999924,14.5,19.98999977,0,4,0,-14.5,-1.559999943,1.333333373,0,0.333333343,0,0,2.893333435,0,0,4.666666508,0.333333343,1.333333373,0,0,52,1,1,5,3,586,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,29.98999023,0
49,49,1000126,0,0,NA,50.48500061,711,49.99000168,0.495000005,0,0,-53,-0.495000005,0.666666687,0,38.33333206,0,0,282.6033325,73.33333588,46.66666794,121,164.6666718,0.666666687,0,0,56,1,1,3,3,430,38,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,6,0,0,59.98999023,0
50,50,1000128,0,0,NA,281.3299866,3807.75,182.9375,8.414999962,759,0,5.25,-76.38999939,27.33333397,19.33333397,93.66666412,0.666666687,0.333333343,1208.42334,169,42,1101.333374,289.3333435,46.66666794,0,45.33333206,50,1,1,6,5,77,48,48,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,6,0,0,299.9899902,0
51,51,1000137,0,0,NA,58.82249832,250,29.98999977,3.712500095,72,0,49,11.46749973,0.666666687,2.333333254,21.66666603,0,0,22.24666595,7.666666508,10,80.66666412,31.66666603,3,0,0,49,1,1,4,4,296,34,32,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,8,1,0,29.98999023,0
52,52,1000147,0,0,NA,50,153.75,50,0,0,0,-46.75,0,2.333333254,3.666666746,15,0,0,23.96666718,18,8.666666985,51,16,6,0,0,51,1,1,1,1,1565,50,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,7,0,1,0,0
53,53,1000150,0,0,NA,122.0049973,1806.5,75,15.59249973,146.25,0.995000005,-155.5,-32.84500122,5,14,62.66666794,2,0.666666687,409.8866577,50,13,290.3333435,147.6666718,19,0,14.66666698,49,2,1,7,7,69,NA,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,29.98999023,0
54,54,1000154,0,0,NA,120.3799973,1729.5,86.98000336,2.722500086,182.75,0,474.5,27.43000031,3,21.66666603,64.33333588,4,0,438.5766602,132.3333282,97.33333588,310.3333435,119.3333359,24.66666603,0,3.333333254,55,1,1,8,4,241,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,0,0,149.9899902,0
55,55,1000158,0,0,NA,56.02500153,557.25,50,0,60.25,0,48.75,-0.824999988,10.33333302,1.666666627,21,0,0,129.363327,36,23,109.6666641,31.33333397,12,0,0.666666687,51,2,2,3,3,740,58,58,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,9,0,0,29.98999023,0
56,56,1000160,0,0,NA,30.32250023,218.75,30.32250023,0,0,0,-57.75,-59.03250122,1.666666627,0.666666687,23,2.666666746,0,12.58666706,6,0,40.33333206,25.33333397,2.333333254,0,0,51,2,2,2,2,776,56,26,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,29.98999023,0
57,57,1000162,0,0,NA,108.7225037,1228.5,107.9800034,0.742500007,0,0,-12.5,-0.742500007,0.666666687,18,26,0.333333343,0,480.2466736,68.33333588,34,190.6666718,131,18.66666603,0,6.666666508,55,1,1,11,6,226,38,34,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,4,0,0,149.9899902,0
58,58,1000170,0,0,NA,65.94249725,572.25,58.77999878,0,44.75,1.475000024,-119.25,-15.5625,5.333333492,0.333333343,29,0.333333343,0,293.4633484,1.333333373,3.666666746,118.3333359,71.33333588,5.666666508,0,2,51,1,1,4,4,275,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,79.98999023,0
59,59,1000171,0,0,NA,32.49750137,295,29.99749947,0,7,0,41,6.442500114,8.666666985,0,18.33333397,3,0,20.75333405,26.66666603,1.333333373,66.33333588,46.66666794,8.666666985,0,0,53,1,1,5,4,181,44,48,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,29.98999023,0
60,60,1000175,0,0,NA,17.35250092,1.25,16.95000076,0.247500002,0,0,-1.25,-0.402500004,0,0,0,0,0,0,0,0,0.333333343,0,0,0,0,49,1,1,1,1,1497,64,66,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,6,0,1,0,0
61,61,1000176,0,0,NA,109.4649963,2297.75,84.98999786,4.949999809,231.75,0,-129.75,-15.07499981,16.66666603,9.666666985,56.66666794,0.333333343,0,581.5633545,28.66666603,17.66666603,391,120.6666641,26.33333397,0,18.66666603,53,2,1,6,5,153,38,42,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,29.98999023,0
62,62,1000177,0,0,NA,79.38999939,848,69.98999786,0,63.5,0,-80,4.599999905,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2,2,6,4,422,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,9.989997864,0
63,63,1000181,0,0,NA,103.1600037,865.5,37.5,0,215.75,41.31000137,-100.5,-48.15999985,2.666666746,5,36.33333206,0,0,35.8133316,23.66666603,2.333333254,268,13.33333302,7.666666508,0,0.333333343,49,1,1,4,3,418,50,52,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,5,0,0,59.98999023,0
64,64,1000185,0,0,NA,41.29249954,71,39.97999954,0,0,1.3125,-21,-1.3125,0,0,5.333333492,0,0,17.76000023,1.333333373,0,16.66666603,2.666666746,0,0,0,53,1,1,6,3,561,46,46,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,6,0,0,9.989997864,0
65,65,1000187,0,0,NA,29.88750076,98.5,36.28499985,0,3,0,35.5,0.102499999,0.666666687,1,6.666666508,0,0,54.32333374,3.333333254,6.666666508,21.66666603,15.33333302,1.666666627,0,0,51,1,1,3,2,94,60,58,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,7,0,0,29.98999023,0
66,66,1000189,0,0,NA,111.9375,2060.5,85,0.247500002,49.75,0,-753.5,-18.29750061,13.66666698,5.333333492,27.33333397,7.333333492,0,451.5166626,220,93,586.333313,271.6666565,19,0,13.33333302,55,3,2,7,4,409,36,34,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,39.98999023,0
67,67,1000190,0,0,NA,105.7024994,636.25,53,0,54,1.002500057,-397.25,-35.78250122,1,22.33333397,70.33333588,0.333333343,0,286.5533447,36,13.66666698,166,51.33333206,23.33333397,0,0.333333343,55,2,2,4,3,253,38,38,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,149.9899902,0
68,68,1000200,0,0,NA,166.4275055,2745.5,83,2.474999905,186,0,-370.5,-28.38750076,4.333333492,33,186.6666718,0.666666687,0,475.5700073,378,121.6666641,1143.666626,407,37.33333206,0,32,51,2,2,5,5,252,70,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,149.9899902,0
